0
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 5849, Loan Amount: Unknown, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Unknown, Married: Yes, Education: Not Graduate, Applicant Income: 3365, Loan Amount: 112.0, Credit History: 0.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3717, Loan Amount: 151.0, Credit History: Unknown, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 9560, Loan Amount: 191.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2799, Loan Amount: 122.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4226, Loan Amount: 110.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Not Graduate, Applicant Income: 1442, Loan Amount: 35.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 3750, Loan Amount: 120.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4166, Loan Amount: 201.0, Credit History: Unknown, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 3167, Loan Amount: 74.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 4692, Loan Amount: 106.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3500, Loan Amount: 114.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 12500, Loan Amount: 320.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2275, Loan Amount: Unknown, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 1828, Loan Amount: 100.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 3667, Loan Amount: 144.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 4166, Loan Amount: 184.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Not Graduate, Applicant Income: 3748, Loan Amount: 110.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 3600, Loan Amount: 80.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 1800, Loan Amount: 47.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2400, Loan Amount: 75.0, Credit History: Unknown, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3941, Loan Amount: 134.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4695, Loan Amount: 96.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 3410, Loan Amount: 88.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5649, Loan Amount: 44.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5821, Loan Amount: 144.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 2645, Loan Amount: 120.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 4000, Loan Amount: 144.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Female, Married: Yes, Education: Not Graduate, Applicant Income: 1928, Loan Amount: 100.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 3086, Loan Amount: 120.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 4230, Loan Amount: 112.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4616, Loan Amount: 134.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 11500, Loan Amount: 286.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2708, Loan Amount: 97.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2132, Loan Amount: 96.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3366, Loan Amount: 135.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 8080, Loan Amount: 180.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 3357, Loan Amount: 144.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2500, Loan Amount: 120.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3029, Loan Amount: 99.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 2609, Loan Amount: 165.0, Credit History: 0.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4945, Loan Amount: Unknown, Credit History: 0.0, Property Area: Rural, Loan Status: N"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 4166, Loan Amount: 116.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5726, Loan Amount: 258.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: No, Education: Not Graduate, Applicant Income: 3200, Loan Amount: 126.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 10750, Loan Amount: 312.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 7100, Loan Amount: 125.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 4300, Loan Amount: 136.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3208, Loan Amount: 172.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 1875, Loan Amount: 97.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 3500, Loan Amount: 81.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4755, Loan Amount: 95.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5266, Loan Amount: 187.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 3750, Loan Amount: 113.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 3750, Loan Amount: 176.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 1000, Loan Amount: 110.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3167, Loan Amount: 180.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 3333, Loan Amount: 130.0, Credit History: Unknown, Property Area: Semiurban, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 3846, Loan Amount: 111.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2395, Loan Amount: Unknown, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 1378, Loan Amount: 167.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 6000, Loan Amount: 265.0, Credit History: Unknown, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3988, Loan Amount: 50.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 2366, Loan Amount: 136.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 3333, Loan Amount: 99.0, Credit History: Unknown, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2500, Loan Amount: 104.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 8566, Loan Amount: 210.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5695, Loan Amount: 175.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2958, Loan Amount: 131.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 6250, Loan Amount: 188.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 3273, Loan Amount: 81.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 4133, Loan Amount: 122.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Not Graduate, Applicant Income: 3620, Loan Amount: 25.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 6782, Loan Amount: Unknown, Credit History: Unknown, Property Area: Urban, Loan Status: N"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 2484, Loan Amount: 137.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 1977, Loan Amount: 50.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4188, Loan Amount: 115.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 1759, Loan Amount: 131.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4288, Loan Amount: 133.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 4843, Loan Amount: 151.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 13650, Loan Amount: Unknown, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4652, Loan Amount: Unknown, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Unknown, Education: Graduate, Applicant Income: 3816, Loan Amount: 160.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3052, Loan Amount: 100.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 11417, Loan Amount: 225.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Not Graduate, Applicant Income: 7333, Loan Amount: 120.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3800, Loan Amount: 216.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 2071, Loan Amount: 94.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 5316, Loan Amount: 136.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 2929, Loan Amount: 139.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 3572, Loan Amount: 152.0, Credit History: 0.0, Property Area: Rural, Loan Status: N"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 7451, Loan Amount: Unknown, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 5050, Loan Amount: 118.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 14583, Loan Amount: 185.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 3167, Loan Amount: 154.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2214, Loan Amount: 85.0, Credit History: Unknown, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5568, Loan Amount: 175.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 10408, Loan Amount: 259.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5667, Loan Amount: 180.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 4166, Loan Amount: 44.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 2137, Loan Amount: 137.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2957, Loan Amount: 81.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4300, Loan Amount: 194.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 3692, Loan Amount: 93.0, Credit History: Unknown, Property Area: Rural, Loan Status: Y"
"Gender: Unknown, Married: Yes, Education: Graduate, Applicant Income: 23803, Loan Amount: 370.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 3865, Loan Amount: Unknown, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 10513, Loan Amount: 160.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 6080, Loan Amount: 182.0, Credit History: Unknown, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 20166, Loan Amount: 650.0, Credit History: Unknown, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 2014, Loan Amount: 74.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 2718, Loan Amount: 70.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3459, Loan Amount: 25.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 4895, Loan Amount: 102.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4000, Loan Amount: 290.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: N"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 4583, Loan Amount: 84.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3316, Loan Amount: 88.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 14999, Loan Amount: 242.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4200, Loan Amount: 129.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5042, Loan Amount: 185.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 5417, Loan Amount: 168.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 6950, Loan Amount: 175.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2698, Loan Amount: 122.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 11757, Loan Amount: 187.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 2330, Loan Amount: 100.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 14866, Loan Amount: 70.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 1538, Loan Amount: 30.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Female, Married: No, Education: Graduate, Applicant Income: 10000, Loan Amount: 225.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4860, Loan Amount: 125.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 6277, Loan Amount: 118.0, Credit History: 0.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2577, Loan Amount: 152.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 9166, Loan Amount: 244.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 2281, Loan Amount: 113.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 3254, Loan Amount: 50.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 39999, Loan Amount: 600.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 6000, Loan Amount: 160.0, Credit History: Unknown, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 9538, Loan Amount: 187.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 2980, Loan Amount: 120.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4583, Loan Amount: 255.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 1863, Loan Amount: 98.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 7933, Loan Amount: 275.0, Credit History: 1.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3089, Loan Amount: 121.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4167, Loan Amount: 158.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 9323, Loan Amount: 75.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3707, Loan Amount: 182.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Female, Married: Yes, Education: Graduate, Applicant Income: 4583, Loan Amount: 112.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2439, Loan Amount: 129.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 2237, Loan Amount: 63.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 8000, Loan Amount: 200.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 1820, Loan Amount: 95.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Unknown, Married: Yes, Education: Graduate, Applicant Income: 51763, Loan Amount: 700.0, Credit History: 1.0, Property Area: Urban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 3522, Loan Amount: 81.0, Credit History: 1.0, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5708, Loan Amount: 187.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Not Graduate, Applicant Income: 4344, Loan Amount: 87.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3497, Loan Amount: 116.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 2045, Loan Amount: 101.0, Credit History: 1.0, Property Area: Rural, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 5516, Loan Amount: 495.0, Credit History: 0.0, Property Area: Semiurban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 3750, Loan Amount: 116.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: No, Education: Not Graduate, Applicant Income: 2333, Loan Amount: 102.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 6400, Loan Amount: 180.0, Credit History: 0.0, Property Area: Urban, Loan Status: N"
"Gender: Male, Married: No, Education: Graduate, Applicant Income: 1916, Loan Amount: 67.0, Credit History: Unknown, Property Area: Rural, Loan Status: N"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 4600, Loan Amount: 73.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: Y"
"Gender: Male, Married: Yes, Education: Graduate, Applicant Income: 33846, Loan Amount: 260.0, Credit History: 1.0, Property Area: Semiurban, Loan Status: N"
